candidate_label,warmup_conflicts,family,base_instance_id,target_roles,rows,variants,repeats,reference_search_ok_frac,candidate_search_ok_frac,candidate_search_blowup_frac,candidate_cpu_only_win_frac,candidate_protocol_win_search_bad_frac,search_ok_frac_change_vs_reference,search_ok_lost_vs_reference_rows,search_ok_gained_vs_reference_rows,new_blowup_vs_reference_rows,adapter_cached_decisions_delta_reference_mean,adapter_cached_decisions_delta_candidate_mean,adapter_cached_decisions_delta_change_vs_reference_mean,adapter_cached_conflicts_delta_reference_mean,adapter_cached_conflicts_delta_candidate_mean,adapter_cached_conflicts_delta_change_vs_reference_mean,adapter_cached_final_cpu_delta_reference_mean,adapter_cached_final_cpu_delta_candidate_mean,adapter_cached_final_cpu_delta_change_vs_reference_mean,adapter_plain_protocol_delta_reference_mean,adapter_plain_protocol_delta_candidate_mean,adapter_plain_protocol_delta_change_vs_reference_mean,event_state_l2_sum_reference_mean,event_state_l2_sum_candidate_mean,event_state_l2_sum_change_vs_reference_mean,event_state_nonzero_vars_reference_mean,event_state_nonzero_vars_candidate_mean,event_state_nonzero_vars_change_vs_reference_mean
v1_2_iter15,3,random_3sat_control,random_3sat_control_v160_c704_seed2615,random_control,9,3,3,0.0,0.0,1.0,0.1111111111111111,0.0,0.0,0,0,0,909.3333333333334,909.3333333333334,0.0,677.0,677.0,0.0,0.008675111111111088,0.008675111111111088,0.0,0.1305214364141159,0.1305214364141159,0.0,362.77410888671875,362.77410888671875,0.0,160.0,160.0,0.0
v1_2_iter15,3,random_3sat_control,random_3sat_control_v180_c760_seed3301,random_control,9,3,3,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,14689.0,14689.0,0.0,12776.0,12776.0,0.0,0.15190122222222222,0.15190122222222222,0.0,-0.21044609806997244,-0.21044609806997244,0.0,430.8724365234375,430.8724365234375,0.0,180.0,180.0,0.0
v1_2_iter15,3,random_3sat_control,random_3sat_control_v220_c928_seed3303,random_control,9,3,3,0.0,0.0,1.0,0.1111111111111111,0.6666666666666666,0.0,0,0,0,321.0,321.0,0.0,265.0,265.0,0.0,0.004609777777777755,0.004609777777777755,0.0,-0.40330852056072164,-0.40330852056072164,0.0,456.0174051920573,456.0174051920573,0.0,220.0,220.0,0.0
v1_2_iter15,3,random_3sat_control,random_3sat_control_v220_c942_seed3304,random_control,9,3,3,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,15194.0,15194.0,0.0,13649.0,13649.0,0.0,0.2116555555555555,0.2116555555555555,0.0,0.2126937397010591,0.2126937397010591,0.0,419.5413513183594,419.5413513183594,0.0,220.0,220.0,0.0
v1_2_iter15,3,random_3sat_control,random_3sat_control_v260_c1097_seed3305,random_control,9,3,3,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,-15828.0,-15828.0,0.0,-14791.333333333334,-14791.333333333334,0.0,-0.45784166666666665,-0.45784166666666665,0.0,-3.8946728015925416,-3.8946728015925416,0.0,493.8140055338542,493.8140055338542,0.0,260.0,260.0,0.0
v1_2_iter15,3,random_3sat_control,random_3sat_control_v260_c1113_seed3306,random_control,9,3,3,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,60044.333333333336,60044.333333333336,0.0,48025.0,48025.0,0.0,0.613551111111111,0.613551111111111,0.0,1.0334567797030079,1.0334567797030079,0.0,480.1115214029948,480.1115214029948,0.0,260.0,260.0,0.0
v1_2_iter15,3,random_3sat_control,random_3sat_control_v300_c1266_seed3307,random_control,9,3,3,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,2558.6666666666665,2558.6666666666665,0.0,2114.0,2114.0,0.0,0.022970999999999988,0.022970999999999988,0.0,-0.7829348932249282,-0.7829348932249282,0.0,624.5980224609375,624.5980224609375,0.0,300.0,300.0,0.0
v1_2_iter15,3,subset_cardinality,subset_cardinality_bw10,other,9,3,3,0.0,0.0,1.0,0.4444444444444444,0.0,0.0,0,0,0,18.666666666666668,18.666666666666668,0.0,3.0,3.0,0.0,-0.00023833333333332218,-0.00023833333333332218,0.0,0.10272304672024644,0.10272304672024644,0.0,93.68310292561848,93.68310292561848,0.0,41.0,41.0,0.0
v1_2_iter15,3,subset_cardinality,subset_cardinality_bw12,"subset_other_variant,subset_perm_failure",9,3,3,0.0,0.0,1.0,0.5555555555555556,0.0,0.0,0,0,0,26.666666666666668,26.666666666666668,0.0,12.666666666666666,12.666666666666666,0.0,-0.000353222222222189,-0.000353222222222189,0.0,0.06035679922534354,0.06035679922534354,0.0,103.64867909749348,103.64867909749348,0.0,49.0,49.0,0.0
v1_2_iter15,3,subset_cardinality,subset_cardinality_bw8,other,9,3,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.0,0.0,0,0,0,3.6666666666666665,3.6666666666666665,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0007300000000000111,0.0007300000000000111,0.0,0.0371619975422885,0.0371619975422885,0.0,78.4325180053711,78.4325180053711,0.0,33.0,33.0,0.0
