candidate_label,warmup_conflicts,family,base_instances,rows,reference_search_ok_frac,candidate_search_ok_frac,candidate_search_blowup_frac,candidate_cpu_only_win_frac,candidate_protocol_win_search_bad_frac,search_ok_lost_vs_reference_rows,search_ok_gained_vs_reference_rows,adapter_cached_decisions_delta_candidate_mean,adapter_cached_conflicts_delta_candidate_mean,adapter_cached_final_cpu_delta_candidate_mean,adapter_plain_protocol_delta_candidate_mean,adapter_cached_decisions_delta_change_vs_reference_mean,adapter_cached_conflicts_delta_change_vs_reference_mean,adapter_cached_final_cpu_delta_change_vs_reference_mean
iter=115,1,complete_coloring,3,27,0.7777777777777778,0.6666666666666666,0.3333333333333333,0.2222222222222222,0.1111111111111111,6,3,2612.6666666666665,2800.4444444444443,-0.15541500000000003,0.15769859179918838,9723.222222222223,8664.0,-0.042360407407407506
iter=115,1,php,2,18,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,3,0,6388.5,6634.833333333333,-0.1960099444444444,-0.10646159071303407,22125.666666666668,20452.5,0.027425666666666675
iter=115,1,random_3sat_control,7,63,0.0,0.047619047619047616,0.9523809523809523,0.1111111111111111,0.2698412698412698,0,3,17711.52380952381,14806.238095238095,0.23115041269841263,0.013097226026957995,-3267.285714285714,-2955.7619047619046,-0.08981828571428575
iter=115,1,subset_cardinality,3,27,0.1111111111111111,0.1111111111111111,0.8888888888888888,0.5185185185185185,0.0,0,0,10.777777777777779,11.0,-0.0003871851851851705,0.2684496094879111,-1.4444444444444444,-0.3333333333333333,-0.0010045925925925667
iter=115,3,complete_coloring,3,27,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.2222222222222222,0.1111111111111111,0,0,16244.888888888889,16119.444444444445,-0.29438518518518514,0.2532479280215811,-13114.888888888889,-12006.111111111111,-0.3755664814814814
iter=115,3,php,2,18,0.5,0.5,0.5,0.3888888888888889,0.2777777777777778,0,0,28812.833333333332,28231.666666666668,-0.22916244444444434,-0.019958624874535525,-15449.166666666666,-14144.166666666666,-0.3713743888888888
iter=115,3,random_3sat_control,7,63,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.14285714285714285,0.3333333333333333,0,0,9733.238095238095,7679.523809523809,0.014465031746031726,-0.6154239705432842,-1393.6666666666667,-1279.7142857142858,-0.06489526984126984
iter=115,3,subset_cardinality,3,27,0.1111111111111111,0.1111111111111111,0.8888888888888888,0.7037037037037037,0.0,3,3,15.777777777777779,7.0,-0.0004097407407407222,0.2659978600657405,-0.5555555555555556,1.6666666666666667,-0.0004558888888888889
iter=50,1,complete_coloring,3,27,0.7777777777777778,0.5555555555555556,0.4444444444444444,0.3333333333333333,0.037037037037037035,6,0,-3386.8888888888887,-3295.6666666666665,-0.31283111111111106,0.7930475876367246,3723.6666666666665,2567.8888888888887,-0.19977651851851855
iter=50,1,php,2,18,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.2222222222222222,0.2222222222222222,3,0,-4726.166666666667,-4637.833333333333,-0.3642468333333333,-0.12370972126932939,11011.0,9179.833333333334,-0.14081122222222225
iter=50,1,random_3sat_control,7,63,0.0,0.047619047619047616,0.9523809523809523,0.09523809523809523,0.31746031746031744,0,3,15816.52380952381,13107.190476190477,0.15746458730158724,-0.30358127022194104,-5162.285714285715,-4654.809523809524,-0.16350411111111116
iter=50,1,subset_cardinality,3,27,0.1111111111111111,0.1111111111111111,0.8888888888888888,0.4074074074074074,0.0,0,0,8.88888888888889,9.333333333333334,0.0006446296296296297,0.2335400525116478,-3.3333333333333335,-2.0,2.7222222222233346e-05
iter=50,3,complete_coloring,3,27,0.6666666666666666,0.7777777777777778,0.2222222222222222,0.07407407407407407,0.07407407407407407,0,3,18085.88888888889,17639.88888888889,-0.08538992592592592,0.454861522909054,-11273.888888888889,-10485.666666666666,-0.16657122222222223
iter=50,3,php,2,18,0.5,0.6666666666666666,0.3333333333333333,0.05555555555555555,0.16666666666666666,0,3,33580.166666666664,32359.0,-0.04872300000000001,0.056685723254296536,-10681.833333333334,-10016.833333333334,-0.19093494444444445
iter=50,3,random_3sat_control,7,63,0.14285714285714285,0.19047619047619047,0.8095238095238095,0.06349206349206349,0.2857142857142857,0,3,9555.047619047618,7549.476190476191,0.09479638095238095,-0.5459534107662137,-1571.857142857143,-1409.7619047619048,0.015436079365079377
iter=50,3,subset_cardinality,3,27,0.1111111111111111,0.0,1.0,0.3333333333333333,0.0,3,0,18.444444444444443,7.777777777777778,0.0006334814814814667,0.2878881787048026,2.111111111111111,2.4444444444444446,0.0005873333333333001
iter=80,1,complete_coloring,3,27,0.7777777777777778,0.6666666666666666,0.3333333333333333,0.07407407407407407,0.07407407407407407,3,0,-528.8888888888889,-98.22222222222223,-0.15387022222222224,0.42863199012102904,6581.666666666667,5765.333333333333,-0.04081562962962975
iter=80,1,php,2,18,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.05555555555555555,0.16666666666666666,3,0,-778.1666666666666,-184.16666666666666,-0.16399827777777776,0.024085441530532478,14959.0,13633.5,0.05943733333333333
iter=80,1,random_3sat_control,7,63,0.0,0.0,1.0,0.1111111111111111,0.42857142857142855,0,0,16776.285714285714,14007.333333333334,0.23359515873015874,-0.5475837351819428,-4202.523809523809,-3754.6666666666665,-0.08737353968253968
iter=80,1,subset_cardinality,3,27,0.1111111111111111,0.1111111111111111,0.8888888888888888,0.5555555555555556,0.0,0,0,4.666666666666667,6.444444444444445,-0.0002321851851851814,0.17204238183653794,-7.555555555555555,-4.888888888888889,-0.0008495925925925779
iter=80,3,complete_coloring,3,27,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.2962962962962963,0.07407407407407407,0,0,14787.222222222223,14622.777777777777,-0.1918065185185185,0.767432218949415,-14572.555555555555,-13502.777777777777,-0.2729878148148148
iter=80,3,php,2,18,0.5,0.5,0.5,0.3888888888888889,0.2222222222222222,0,0,22367.0,22095.833333333332,-0.2900555,0.14171838117197819,-21895.0,-20280.0,-0.4322674444444445
iter=80,3,random_3sat_control,7,63,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.15873015873015872,0.36507936507936506,0,0,9274.809523809523,7324.952380952381,0.00919553968253968,-0.7220885306387713,-1852.095238095238,-1634.2857142857142,-0.07016476190476187
iter=80,3,subset_cardinality,3,27,0.1111111111111111,0.0,1.0,0.5185185185185185,0.0,3,0,18.555555555555557,7.666666666666667,-7.055555555555928e-05,0.14057149496868138,2.2222222222222223,2.3333333333333335,-0.00011670370370372607
v1_2_iter15,1,complete_coloring,3,27,0.7777777777777778,0.7777777777777778,0.2222222222222222,0.07407407407407407,0.07407407407407407,0,0,-7110.555555555556,-5863.555555555556,-0.11305459259259251,0.4412404738964683,0.0,0.0,0.0
v1_2_iter15,1,php,2,18,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0,0,-15737.166666666666,-13817.666666666666,-0.22343561111111107,-0.3370782608776688,0.0,0.0,0.0
v1_2_iter15,1,random_3sat_control,7,63,0.0,0.0,1.0,0.1111111111111111,0.3492063492063492,0,0,20978.809523809523,17762.0,0.3209686984126985,-0.15264521410871687,0.0,0.0,0.0
v1_2_iter15,1,subset_cardinality,3,27,0.1111111111111111,0.1111111111111111,0.8888888888888888,0.3333333333333333,0.0,0,0,12.222222222222221,11.333333333333334,0.0006174074074073964,0.30364361583764904,0.0,0.0,0.0
v1_2_iter15,3,complete_coloring,3,27,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.037037037037037035,0.1111111111111111,0,0,29359.777777777777,28125.555555555555,0.08118129629629632,0.062159439231843874,0.0,0.0,0.0
v1_2_iter15,3,php,2,18,0.5,0.5,0.5,0.0,0.16666666666666666,0,0,44262.0,42375.833333333336,0.14221194444444443,0.06164383538082904,0.0,0.0,0.0
v1_2_iter15,3,random_3sat_control,7,63,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.031746031746031744,0.38095238095238093,0,0,11126.904761904761,8959.238095238095,0.07936030158730158,-0.5592414796614259,0.0,0.0,0.0
v1_2_iter15,3,subset_cardinality,3,27,0.1111111111111111,0.1111111111111111,0.8888888888888888,0.4074074074074074,0.0,0,0,16.333333333333332,5.333333333333333,4.614814814816664e-05,0.06674728116262615,0.0,0.0,0.0
