candidate_label,warmup_conflicts,rows,base_instances,variants,repeats,reference_search_ok_frac,candidate_search_ok_frac,candidate_search_blowup_frac,cpu_only_win_frac,protocol_win_search_bad_frac,anchor_search_ok_frac,anchor_min_search_ok_frac,hard_negative_search_ok_frac,hard_negative_min_search_ok_frac,random_control_search_ok_frac,subset_perm_failure_search_ok_frac,search_ok_lost_vs_reference_rows,search_ok_gained_vs_reference_rows,anchor_lost_vs_reference_rows,hard_negative_lost_vs_reference_rows,hard_negative_gained_vs_reference_rows,random_positive_candidate_rows,subset_failure_positive_candidate_rows,known_expected_rows,known_expected_match_rows,known_expected_all_match,adapter_cached_decisions_delta_reference_mean,adapter_cached_decisions_delta_candidate_mean,adapter_cached_decisions_delta_change_vs_reference_mean,adapter_cached_conflicts_delta_reference_mean,adapter_cached_conflicts_delta_candidate_mean,adapter_cached_conflicts_delta_change_vs_reference_mean,adapter_cached_final_cpu_delta_reference_mean,adapter_cached_final_cpu_delta_candidate_mean,adapter_cached_final_cpu_delta_change_vs_reference_mean,adapter_plain_protocol_delta_reference_mean,adapter_plain_protocol_delta_candidate_mean,adapter_plain_protocol_delta_change_vs_reference_mean,event_state_l2_sum_reference_mean,event_state_l2_sum_candidate_mean,event_state_l2_sum_change_vs_reference_mean,event_state_nonzero_vars_reference_mean,event_state_nonzero_vars_candidate_mean,event_state_nonzero_vars_change_vs_reference_mean,warmup_decisions_reference_mean,warmup_decisions_candidate_mean,warmup_decisions_change_vs_reference_mean,warmup_conflict_count_reference_mean,warmup_conflict_count_candidate_mean,warmup_conflict_count_change_vs_reference_mean
iter=115,1,135,15,45,3,0.28888888888888886,0.26666666666666666,0.7333333333333333,0.2,0.17037037037037037,1.0,1.0,0.3333333333333333,0.3333333333333333,0.047619047619047616,0.0,9,6,0,6,0,3,0,72,72,True,6272.155555555555,9641.866666666667,3369.711111111111,5276.133333333333,8356.511111111111,3080.3777777777777,0.09750654074074074,0.050575096296296286,-0.04693144444444446,0.03279861657906642,0.07714680030826239,0.044348183729196,214.57329254150392,214.57329254150392,0.0,140.2,140.2,0.0,18.0,18.0,0.0,1.0,1.0,0.0
iter=115,3,135,15,45,3,0.28888888888888886,0.28888888888888886,0.7111111111111111,0.3037037037037037,0.21481481481481482,1.0,1.0,0.0,0.0,0.14285714285714285,0.0,3,3,0,0,0,9,0,72,72,True,16969.37777777778,11636.022222222222,-5333.355555555556,15457.266666666666,10573.288888888888,-4883.977777777778,0.0722418888888889,-0.08276362962962962,-0.1550055185185185,-0.22697883504566094,-0.18600984528600642,0.04096898975965445,291.57310638427737,291.57310638427737,0.0,140.2,140.2,0.0,20.444444444444443,20.444444444444443,0.0,3.0,3.0,0.0
iter=50,1,135,15,45,3,0.28888888888888886,0.24444444444444444,0.7555555555555555,0.2222222222222222,0.18518518518518517,1.0,1.0,0.3333333333333333,0.3333333333333333,0.047619047619047616,0.0,9,3,0,6,0,3,0,72,72,True,6272.155555555555,6075.288888888889,-196.86666666666667,5276.133333333333,4841.044444444445,-435.0888888888889,0.09750654074074074,-0.037520066666666664,-0.13502660740740743,0.03279861657906642,0.04715163909019138,0.014353022511125009,214.57329254150392,214.57329254150392,0.0,140.2,140.2,0.0,18.0,18.0,0.0,1.0,1.0,0.0
iter=50,3,135,15,45,3,0.28888888888888886,0.3333333333333333,0.6666666666666666,0.11851851851851852,0.17037037037037037,1.0,1.0,0.3333333333333333,0.3333333333333333,0.19047619047619047,0.0,3,9,0,0,6,12,0,72,72,True,16969.37777777778,12557.244444444445,-4412.133333333333,15457.266666666666,11367.155555555555,-4090.1111111111113,0.0722418888888889,0.02079062222222221,-0.05145126666666667,-0.22697883504566094,-0.09867022160088888,0.128308613444772,291.57310638427737,291.57310638427737,0.0,140.2,140.2,0.0,20.444444444444443,20.444444444444443,0.0,3.0,3.0,0.0
iter=80,1,135,15,45,3,0.28888888888888886,0.24444444444444444,0.7555555555555555,0.18518518518518517,0.23703703703703705,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,6,0,0,6,0,0,0,72,72,True,6272.155555555555,7620.333333333333,1348.1777777777777,5276.133333333333,6493.844444444445,1217.7111111111112,0.09750654074074074,0.05632415555555555,-0.04118238518518521,0.03279861657906642,-0.13219280982265555,-0.16499142640172204,214.57329254150392,214.57329254150392,0.0,140.2,140.2,0.0,18.0,18.0,0.0,1.0,1.0,0.0
iter=80,3,135,15,45,3,0.28888888888888886,0.26666666666666666,0.7333333333333333,0.28888888888888886,0.21481481481481482,1.0,1.0,0.0,0.0,0.14285714285714285,0.0,3,0,0,0,0,9,0,72,72,True,16969.37777777778,10271.666666666666,-6697.711111111111,15457.266666666666,9290.511111111111,-6166.7555555555555,0.0722418888888889,-0.07275822962962963,-0.14500011851851852,-0.22697883504566094,-0.13647812069154353,0.09050071435411727,291.57310638427737,291.57310638427737,0.0,140.2,140.2,0.0,20.444444444444443,20.444444444444443,0.0,3.0,3.0,0.0
v1_2_iter15,1,135,15,45,3,0.28888888888888886,0.28888888888888886,0.7111111111111111,0.13333333333333333,0.2,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0,0,0,0,0,0,0,72,72,True,6272.155555555555,6272.155555555555,0.0,5276.133333333333,5276.133333333333,0.0,0.09750654074074074,0.09750654074074074,0.0,0.03279861657906642,0.03279861657906642,0.0,214.57329254150392,214.57329254150392,0.0,140.2,140.2,0.0,18.0,18.0,0.0,1.0,1.0,0.0
v1_2_iter15,3,135,15,45,3,0.28888888888888886,0.28888888888888886,0.7111111111111111,0.1037037037037037,0.2222222222222222,1.0,1.0,0.0,0.0,0.14285714285714285,0.0,0,0,0,0,0,9,0,72,72,True,16969.37777777778,16969.37777777778,0.0,15457.266666666666,15457.266666666666,0.0,0.0722418888888889,0.0722418888888889,0.0,-0.22697883504566094,-0.22697883504566094,0.0,291.57310638427737,291.57310638427737,0.0,140.2,140.2,0.0,20.444444444444443,20.444444444444443,0.0,3.0,3.0,0.0
