echosat_replay_role,rows,search_ok_frac,search_blowup_frac,positive_allowed_frac,positive_final_advantage_frac,positive_raw_advantage_unclamped_frac,offline_positive_but_search_bad_frac,echosat_symmetry_reward_mean,grpo_raw_advantage_unclamped_mean,grpo_raw_advantage_mean,grpo_weighted_advantage_before_clamp_mean,grpo_final_advantage_mean,advantage_mean
anchor,22076,1.0,0.0,0.98296792897264,0.6763906504801594,0.687941656097119,0.0,0.10419243553325047,0.17540575831389263,0.17540575831389263,0.17383220058978305,0.16695644267996984,0.16695644267996984
anchor_failure,4484,0.0,0.9995539696699376,0.0,0.0,0.2803300624442462,0.0,0.0,-0.8635721499860602,-1.0086183506231738,-0.9995703997185965,-0.9995703997185965,-0.9995703997185965
hard_negative,10900,1.0,0.0,0.8674311926605505,0.8593577981651376,0.9855045871559633,0.0,0.08575072418899571,0.6978362219130079,0.6978362219130079,0.5829699455054298,0.5194296135312981,0.5194296135312981
hard_negative_failure,33964,0.0,0.9954657873042044,0.0,0.0,0.446443292898363,0.0,0.0,-0.22395521195535822,-0.5084607452682994,-0.4048844322123515,-0.4048844322123515,-0.4048844322123515
other,30624,0.14491901776384536,0.3939393939393939,0.08212513061650993,0.07445141065830721,0.5701084117032393,0.0,0.008261060618381038,-3.603584399416815e-18,-3.603584399416815e-18,-4.260676625165606e-18,-0.2744206145159322,-0.2744206145159322
random_control,25920,0.19618055555555555,0.6108796296296296,0.0,0.0,0.5293595679012346,0.0,0.0,-2.0152775196224387e-17,-0.3900997241926114,-0.3900997241926114,-0.3900997241926114,-0.3900997241926114
subset_failure,1344,0.001488095238095238,0.9977678571428571,0.0,0.0,0.5052083333333334,0.0,0.0,3.172065784643304e-17,-0.39299937243117117,-0.2326949826830446,-0.2326949826830446,-0.2326949826830446
