candidate_label,family,target_role,base_instance_id,variant,repeat_id,wc1_search_ok,wc3_search_ok,wc1_candidate_search_ok,wc1_target_role,wc1_family,wc1_adapter_cached_decisions_delta_candidate,wc1_adapter_cached_conflicts_delta_candidate,wc1_adapter_cached_final_cpu_delta_candidate,wc3_candidate_search_ok,wc3_target_role,wc3_family,wc3_adapter_cached_decisions_delta_candidate,wc3_adapter_cached_conflicts_delta_candidate,wc3_adapter_cached_final_cpu_delta_candidate
iter=50,random_3sat_control,random_control,random_3sat_control_v260_c1097_seed3305,perm_seed1731,2,False,True,False,random_control,random_3sat_control,10546.0,8986.0,0.18158,True,random_control,random_3sat_control,-6391.0,-5928.0,-0.1431099999999998
iter=50,subset_cardinality,other,subset_cardinality_bw10,perm_seed1731,0,True,False,True,other,subset_cardinality,-27.0,-17.0,0.001542,False,other,subset_cardinality,12.0,-11.0,0.001702
iter=50,subset_cardinality,other,subset_cardinality_bw10,perm_seed1731,1,True,False,True,other,subset_cardinality,-27.0,-17.0,0.001861,False,other,subset_cardinality,12.0,-11.0,0.000621
iter=50,subset_cardinality,other,subset_cardinality_bw10,perm_seed1731,2,True,False,True,other,subset_cardinality,-27.0,-17.0,0.003103,False,other,subset_cardinality,12.0,-11.0,0.0005249999999999
iter=80,complete_coloring,hard_negative,k10_color9,base,0,True,False,True,hard_negative,complete_coloring,-104114.0,-96506.0,-1.5525100000000005,False,hard_negative,complete_coloring,18162.0,19145.0,-0.5042299999999997
iter=80,complete_coloring,hard_negative,k10_color9,base,1,True,False,True,hard_negative,complete_coloring,-104114.0,-96506.0,-1.09173,False,hard_negative,complete_coloring,18162.0,19145.0,-0.32952
iter=80,complete_coloring,hard_negative,k10_color9,base,2,True,False,True,hard_negative,complete_coloring,-104114.0,-96506.0,-1.59919,False,hard_negative,complete_coloring,18162.0,19145.0,-0.5467200000000005
iter=80,complete_coloring,other,k8_color7,base,0,False,True,False,other,complete_coloring,73.0,67.0,0.0030089999999999,True,other,complete_coloring,-456.0,-387.0,-0.011258
iter=80,complete_coloring,other,k8_color7,base,1,False,True,False,other,complete_coloring,73.0,67.0,0.0002489999999999,True,other,complete_coloring,-456.0,-387.0,-0.009644
iter=80,complete_coloring,other,k8_color7,base,2,False,True,False,other,complete_coloring,73.0,67.0,-0.003622,True,other,complete_coloring,-456.0,-387.0,-0.019448
