iteration,global_step,echosat_replay_role,family,base_instance_id,echosat_cost,grpo_raw_advantage_unclamped,grpo_raw_advantage,grpo_weighted_advantage_before_clamp,grpo_final_advantage,rows,grpo_positive_raw_advantage_clamped_frac,grpo_positive_advantage_clamped_frac
0,0,other,complete_coloring,k10_color9,2.1830588428931557,-1.8709726565871665,-1.8709726565871665,-1.8538535290089,-1.8538535290089,48,0.0,0.0
0,0,other,complete_coloring,k9_color8,0.6968895133557388,-0.7734925455726529,-0.7734925455726529,-0.7646991546573633,-0.7646991546573633,48,0.0,0.0
0,0,other,php,php_p10_h9,2.516552609682578,-2.1739562893434607,-2.1739562893434607,-2.154120238320761,-2.154120238320761,272,0.0,0.0
0,0,other,php,php_p9_h8,1.3784509318516724,-1.40154133928513,-1.40154133928513,-1.3855488351179908,-1.3855488351179908,272,0.0,0.0
0,0,other,subset_cardinality,subset_cardinality_bw18,1.9445190199906932,-1.8313429298974488,-1.8313429298974488,-0.6507789011005227,-0.6507789011005227,272,0.0,0.0
0,0,random_control,random_3sat_control,random_3sat_control_v45_c191_seed1924,11.806849871442958,-10.36739487185216,-10.36739487185216,0.0,0.0,272,0.0,0.0
1,48,other,complete_coloring,k9_color8,0.5924815209608277,-0.6902517097924873,-0.6902517097924873,-0.682410725997845,-0.682410725997845,48,0.0,0.0
1,48,other,php,php_p9_h8,1.27565856199825,-1.3011812469720003,-1.3011812469720003,-1.2863350400745983,-1.2863350400745983,272,0.0,0.0
1,48,other,php_exit_all,php_exit_all_p9_h8,3.865196078431372,-3.2308006535947715,-3.2308006535947715,-1.1513023260896875,-1.1513023260896875,272,0.0,0.0
1,48,other,subset_cardinality,subset_cardinality_bw12,1.5544438310327104,-1.4938742843555823,-1.4938742843555823,-0.4987150712041592,-0.4987150712041592,256,0.0,0.0
1,48,random_control,random_3sat_control,random_3sat_control_v260_c1097_seed3305,3.641191225710699,-3.4307898354739894,-3.4307898354739894,0.0,0.0,48,0.0,0.0
1,48,subset_failure,subset_cardinality,subset_cardinality_bw12,2.788667254776379,-2.7654264135355753,-2.7654264135355753,-0.9771960186659224,-0.9771960186659224,16,0.0,0.0
2,96,other,complete_coloring,k10_color9,2.492022120889101,-2.1251417778096555,-2.1251417778096555,-2.1056974791491903,-2.1056974791491903,48,0.0,0.0
2,96,other,complete_coloring,k9_color8,0.6726268312891285,-0.7337520200082631,-0.7337520200082631,-0.7254122312384722,-0.7254122312384722,48,0.0,0.0
2,96,other,php,php_p10_h9,2.536380963160664,-2.2061980000105104,-2.2061980000105104,-2.18606726185753,-2.18606726185753,272,0.0,0.0
2,96,other,php,php_p9_h8,1.5327549616802547,-1.5575601897078262,-1.5575601897078262,-1.5397877811585123,-1.5397877811585123,272,0.0,0.0
2,96,other,php_exit_single,php_exit_single_p10_h9,2.8210784313725488,-2.3688725490196076,-2.3688725490196076,-0.8446612099475145,-0.8446612099475145,272,0.0,0.0
2,96,random_control,random_3sat_control,random_3sat_control_v300_c1266_seed3307,58.83964056871705,-47.0584490105891,-47.0584490105891,0.0,0.0,48,0.0,0.0
3,144,other,complete_coloring,k10_color9,2.236034758510223,-1.9306393232956065,-1.9306393232956065,-0.6365961949405821,-0.6365961949405821,48,0.0,0.0
3,144,other,php,php_p10_h9,2.5793022516693234,-2.241835309947702,-2.241835309947702,-1.2522479695976791,-1.2522479695976791,272,0.0,0.0
3,144,other,subset_cardinality,subset_cardinality_bw10,1.1088009860456634,-1.065528918833068,-1.065528918833068,-0.1966981333393076,-0.1966981333393076,48,0.0,0.0
3,144,other,subset_cardinality,subset_cardinality_bw12,1.4690110419378373,-1.3984536775102256,-1.3984536775102256,-0.2038519925644122,-0.2038519925644122,256,0.0,0.0
3,144,random_control,random_3sat_control,random_3sat_control_v80_c260_seed1929,8.299605204257595,-7.21267467656308,-7.21267467656308,0.0,0.0,272,0.0,0.0
3,144,subset_failure,subset_cardinality,subset_cardinality_bw12,2.314623166917416,-2.272181505714363,-2.272181505714363,-0.8029021167233646,-0.8029021167233646,16,0.0,0.0
4,192,other,complete_coloring,k10_color9,198506.9319936606,-198506.8549878226,-198506.8549878226,-196691.65246139583,-196691.65246139583,48,0.0,0.0
4,192,other,complete_coloring,k5_color5,2.715441176470588,-2.3455882352941178,-2.3455882352941178,-2.268919784148762,-2.268919784148762,272,0.0,0.0
4,192,other,php,php_p10_h9,38343.19054164575,-38342.90244128437,-38342.90244128437,-37993.985944628635,-37993.985944628635,272,0.0,0.0
4,192,other,subset_cardinality,subset_cardinality_bw12,36.91734498215342,-36.85773750516881,-36.85773750516881,-13.041993699010431,-13.041993699010431,256,0.0,0.0
4,192,random_control,random_3sat_control,random_3sat_control_v140_c595_seed1935,328.3092334231588,-328.21780916169786,-328.21780916169786,0.0,0.0,272,0.0,0.0
4,192,subset_failure,subset_cardinality,subset_cardinality_bw12,1.2715333587607722,-1.2646222000146394,-1.2646222000146394,-0.4468691601852843,-0.4468691601852843,16,0.0,0.0
5,240,other,complete_coloring,k10_color9,2.392387347720601,-2.070564497995297,-2.070564497995297,-2.0516194582700256,-2.0516194582700256,48,0.0,0.0
5,240,other,php,php_p10_h9,2.5156022944009986,-2.2044922056626484,-2.2044922056626484,-2.1843795676496063,-2.1843795676496063,272,0.0,0.0
5,240,other,php_exit_all,php_exit_all_p7_h6,4.7463235294117645,-4.1649159663865545,-4.1649159663865545,-1.4741339469401322,-1.4741339469401322,272,0.0,0.0
5,240,other,subset_cardinality,subset_cardinality_bw12,1.6024160669946306,-1.5423048552936425,-1.5423048552936425,-0.5448984428630812,-0.5448984428630812,256,0.0,0.0
5,240,random_control,random_3sat_control,random_3sat_control_v150_c638_seed1937,24.306904457825297,-22.747722512060392,-22.747722512060392,0.0,0.0,272,0.0,0.0
5,240,subset_failure,subset_cardinality,subset_cardinality_bw12,1.4176281235428,-1.3757990113395384,-1.3757990113395384,-0.4861547968823629,-0.4861547968823629,16,0.0,0.0
6,288,other,complete_coloring,k4_color4,1.3529411764705883,-1.3529411764705883,-1.3529411764705883,0.0,0.0,272,0.0,0.0
6,288,other,complete_coloring,k9_color8,1.389322501336107,-1.4406363776812026,-1.4406363776812026,-1.4242698352318743,-1.4242698352318743,48,0.0,0.0
6,288,other,php,php_p9_h8,4784.21300567647,-4784.221247817792,-4784.221247817792,-4729.814293173911,-4729.814293173911,272,0.0,0.0
6,288,other,subset_cardinality,subset_cardinality_bw12,48.53780445345118,-48.485605135976655,-48.485605135976655,-17.100190154969294,-17.100190154969294,256,0.0,0.0
6,288,random_control,random_3sat_control,random_3sat_control_v45_c191_seed1924,7.831328194126695,-6.941219129212541,-6.941219129212541,0.0,0.0,272,0.0,0.0
6,288,subset_failure,subset_cardinality,subset_cardinality_bw12,1.393349803837192,-1.360016152850595,-1.360016152850595,-0.480577737806383,-0.480577737806383,16,0.0,0.0
7,336,other,complete_coloring,k10_color9,2.2589692452052668,-1.944997812464411,-1.944997812464411,-1.927201454381202,-1.927201454381202,48,0.0,0.0
7,336,other,complete_coloring,k4_color3,1.463235294117647,-1.463235294117647,-1.463235294117647,-1.2956601642838104,-1.2956601642838104,272,0.0,0.0
7,336,other,complete_coloring,k9_color8,1.6278744664205966,-1.7090911645279538,-1.7090911645279538,-1.6896403819635282,-1.6896403819635282,48,0.0,0.0
7,336,other,php,php_p10_h9,2.535317308142966,-2.2058511106636223,-2.2058511106636223,-2.185723389163062,-2.185723389163062,272,0.0,0.0
7,336,other,php,php_p9_h8,1.5769100792136883,-1.5860830479576673,-1.5860830479576673,-1.5679834970930555,-1.5679834970930555,272,0.0,0.0
7,336,random_control,random_3sat_control,random_3sat_control_v220_c928_seed3303,24.063160807103007,-17.768347993389202,-17.768347993389202,0.0,0.0,48,0.0,0.0
8,384,other,complete_coloring,k9_color8,1.4670067959814344,-1.5224119644114766,-1.5224119644114766,-1.5051220355454855,-1.5051220355454855,48,0.0,0.0
8,384,other,php,php_p9_h8,1.505026675111692,-1.5111884146010672,-1.5111884146010672,-1.4939428961771877,-1.4939428961771877,272,0.0,0.0
8,384,other,subset_cardinality,subset_cardinality_bw12,1.275244111490823,-1.2197696749807054,-1.2197696749807054,-0.430913730506902,-0.430913730506902,256,0.0,0.0
8,384,other,vertex_cover_torus,vertex_cover_torus_4x4_k5_event,1.9220628062666305,-1.7642025560224086,-1.7642025560224086,-1.677070794354896,-1.677070794354896,272,0.0,0.0
8,384,random_control,random_3sat_control,random_3sat_control_v40_c170_seed1903,24.83139777252529,-23.195466905819597,-23.195466905819597,0.0,0.0,272,0.0,0.0
8,384,subset_failure,subset_cardinality,subset_cardinality_bw12,1.400792113918487,-1.3296737170859094,-1.3296737170859094,-0.4698558804896412,-0.4698558804896412,16,0.0,0.0
