iteration,global_step,solver_returncode,solver_timeout,solver_stdout_bytes,solver_stderr_bytes,cnf_id,sample_id,restarts,conflicts,decisions,propagations,CPU time,Result,file,family,instance_id,base_instance_id,variant,num_vars,expected_result,control_type,symmetry_strength,scale,benchmark_role,family_scale,permutation_variant,event_audit_role,valid_orbit_count,valid_orbit_vars,orbit_confidence_mean,orbit_confidence_max,formula_equivalence_group,echosat_sampling_group_id,training_priority,canonical_order_training_v1,orbits_path_resolved,metadata_path_resolved,phase_flip_frac,weight_delta_abs_mean,weight_delta_abs_max,weight_relative_abs_mean,weight_rank_change_penalty,event_state_l2_sum_train,event_state_l2_max_train,event_state_nonzero_vars_train,warmup_cpu_time_train,warmup_conflicts_train,warmup_decisions_train,echosat_perm_delta_penalty,baseline_static_cpu_time,baseline_static_conflicts,baseline_static_decisions,baseline_neutral_cpu_time,echosat_target_mode,echosat_final_cpu_cost,echosat_search_cost,echosat_overhead_cost,echosat_weighted_risk,echosat_perturbation_penalty,echosat_e_sym,echosat_advantage_weight,echosat_result_mismatch,echosat_cost,plain_Result,plain_CPU_time,plain_decisions,plain_conflicts,_plain_present,static_Result,static_CPU_time,static_decisions,static_conflicts,_static_present,search_score,v2_missing_plain_baseline,v2_plain_unsolved,v2_missing_static_baseline,v2_invalid_static_baseline,v2_static_unsolved,v2_control_blocked,v2_plain_result_mismatch,v2_static_result_mismatch,v2_plain_solved_guided_unsolved,v2_static_solved_guided_unsolved,v2_near_cap,v2_weighted_risk,v2_valid_symmetry_orbit_evidence,v2_decisions_improved,v2_conflicts_improved,v2_static_search_blowup,v2_hard_safety_blocked,v2_row_positive_candidate,v2_variant_hard_blocked,v2_variant_mean_search_score,v2_variant_positive_capable,v2_base_hard_blocked,v2_base_blocked,worst_variant_score,worst_variant_penalty,v2_objective_search_score,v2_positive_eligible,v2_blocked_penalty,baseline_plain_cpu_time,baseline_plain_result,baseline_static_result,v2_invalid_eligibility,grpo_target_value,grpo_group_mean_cost,grpo_group_std_cost,grpo_raw_advantage_unclamped,grpo_raw_advantage,grpo_weighted_advantage_before_clamp,grpo_final_advantage,grpo_positive_raw_advantage_clamped,grpo_positive_advantage_clamped,advantage,echosat_replay_role
3,144,-6,False,0,0,846,0,,,,,,,data/echosat_symmetry_grpo_v1_canonical/cnf/subset_cardinality/subset_cardinality_bw12_perm1740.cnf,subset_cardinality,subset_cardinality_bw12_perm1740,subset_cardinality_bw12,perm_seed1740,49,UNSATISFIABLE,weak_symmetry,weak,large,main,subset_cardinality:large,True,event,8,48.0,0.6,0.6,,subset_cardinality_bw12,3,True,/Users/cchao/EchoSAT/RLAF/data/echosat_symmetry_grpo_v1_canonical/cnf/subset_cardinality/subset_cardinality_bw12_perm1740.orbits.json,/Users/cchao/EchoSAT/RLAF/data/echosat_symmetry_grpo_v1_canonical/cnf/subset_cardinality/subset_cardinality_bw12_perm1740.metadata.json,0.3877551020408163,0.03457209840416908,0.09520888328552246,0.03733501210808754,1.078239146173228,56.21723637357354,1.5604618787765503,49,0.001117000007070601,1.0,14.0,0.2987445294857025,0.001707,339.0,440.0,2.26749,symmetry_grpo_v2,1.0,1.0,0.6543643860987703,0.0,3.6442936918676194,0.5896937739168883,0.35381626435013297,False,3.2184661683278435,UNSATISFIABLE,0.001625,442.0,321.0,True,UNSATISFIABLE,0.001707,440.0,339.0,True,0.0,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,True,0.04027429962505909,False,True,True,-0.21846616832784355,0.21846616832784355,0.0,False,3.2184661683278435,0.001625,UNSATISFIABLE,UNSATISFIABLE,False,3.2184661683278435,0.0,0.0,-3.2184661683278435,-3.2184661683278435,-1.138745676615044,-1.138745676615044,False,False,-1.138745676615044,other
3,144,-6,False,0,0,846,1,,,,,,,data/echosat_symmetry_grpo_v1_canonical/cnf/subset_cardinality/subset_cardinality_bw12_perm1740.cnf,subset_cardinality,subset_cardinality_bw12_perm1740,subset_cardinality_bw12,perm_seed1740,49,UNSATISFIABLE,weak_symmetry,weak,large,main,subset_cardinality:large,True,event,8,48.0,0.6,0.6,,subset_cardinality_bw12,3,True,/Users/cchao/EchoSAT/RLAF/data/echosat_symmetry_grpo_v1_canonical/cnf/subset_cardinality/subset_cardinality_bw12_perm1740.orbits.json,/Users/cchao/EchoSAT/RLAF/data/echosat_symmetry_grpo_v1_canonical/cnf/subset_cardinality/subset_cardinality_bw12_perm1740.metadata.json,0.5306122448979592,0.03284227475523949,0.10340046882629395,0.03545178100466728,0.8532249960170645,56.21723637357354,1.5604618787765503,49,0.001117000007070601,1.0,14.0,0.2899807393550873,0.001707,339.0,440.0,2.26749,symmetry_grpo_v2,1.0,1.0,0.6543643860987703,0.0,3.687674082693322,0.5896937739168883,0.35381626435013297,False,3.2184661683278435,UNSATISFIABLE,0.001625,442.0,321.0,True,UNSATISFIABLE,0.001707,440.0,339.0,True,0.0,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,True,0.04027429962505909,False,True,True,-0.21846616832784355,0.21846616832784355,0.0,False,3.2184661683278435,0.001625,UNSATISFIABLE,UNSATISFIABLE,False,3.2184661683278435,0.0,0.0,-3.2184661683278435,-3.2184661683278435,-1.138745676615044,-1.138745676615044,False,False,-1.138745676615044,other
3,144,20,False,3671,0,846,2,1.0,332.0,417.0,3936.0,0.001495,UNSATISFIABLE,data/echosat_symmetry_grpo_v1_canonical/cnf/subset_cardinality/subset_cardinality_bw12_perm1740.cnf,subset_cardinality,subset_cardinality_bw12_perm1740,subset_cardinality_bw12,perm_seed1740,49,UNSATISFIABLE,weak_symmetry,weak,large,main,subset_cardinality:large,True,event,8,48.0,0.6,0.6,,subset_cardinality_bw12,3,True,/Users/cchao/EchoSAT/RLAF/data/echosat_symmetry_grpo_v1_canonical/cnf/subset_cardinality/subset_cardinality_bw12_perm1740.orbits.json,/Users/cchao/EchoSAT/RLAF/data/echosat_symmetry_grpo_v1_canonical/cnf/subset_cardinality/subset_cardinality_bw12_perm1740.metadata.json,0.2857142857142857,0.03643930330872536,0.10072141885757446,0.039348457008600235,1.0326336908646818,56.21723637357354,1.5604618787765503,49,0.001117000007070601,1.0,14.0,0.2791246175765991,0.001707,339.0,440.0,2.26749,symmetry_grpo_v2,-0.12419449326303454,-0.03804203539823009,0.6543643860987703,0.0,3.2029869812594645,0.5896937739168883,0.35381626435013297,False,1.1757955962525168,UNSATISFIABLE,0.001625,442.0,321.0,True,UNSATISFIABLE,0.001707,440.0,339.0,True,0.04267057207532657,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,0.04027429962505909,False,True,True,-0.21846616832784355,0.21846616832784355,0.04267057207532657,False,1.2184661683278435,0.001625,UNSATISFIABLE,UNSATISFIABLE,False,1.1757955962525168,0.0,0.0,-1.2184661683278435,-1.2184661683278435,-0.4311131479147779,-0.4311131479147779,False,False,-0.4311131479147779,other
3,144,-6,False,0,0,846,3,,,,,,,data/echosat_symmetry_grpo_v1_canonical/cnf/subset_cardinality/subset_cardinality_bw12_perm1740.cnf,subset_cardinality,subset_cardinality_bw12_perm1740,subset_cardinality_bw12,perm_seed1740,49,UNSATISFIABLE,weak_symmetry,weak,large,main,subset_cardinality:large,True,event,8,48.0,0.6,0.6,,subset_cardinality_bw12,3,True,/Users/cchao/EchoSAT/RLAF/data/echosat_symmetry_grpo_v1_canonical/cnf/subset_cardinality/subset_cardinality_bw12_perm1740.orbits.json,/Users/cchao/EchoSAT/RLAF/data/echosat_symmetry_grpo_v1_canonical/cnf/subset_cardinality/subset_cardinality_bw12_perm1740.metadata.json,0.4897959183673469,0.033978354185819626,0.12487494945526123,0.036677632480859756,0.8814666721487845,56.21723637357354,1.5604618787765503,49,0.001117000007070601,1.0,14.0,0.31008243560791016,0.001707,339.0,440.0,2.26749,symmetry_grpo_v2,1.0,1.0,0.6543643860987703,0.0,3.605590772266292,0.5896937739168883,0.35381626435013297,False,3.2184661683278435,UNSATISFIABLE,0.001625,442.0,321.0,True,UNSATISFIABLE,0.001707,440.0,339.0,True,0.0,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,True,0.04027429962505909,False,True,True,-0.21846616832784355,0.21846616832784355,0.0,False,3.2184661683278435,0.001625,UNSATISFIABLE,UNSATISFIABLE,False,3.2184661683278435,0.0,0.0,-3.2184661683278435,-3.2184661683278435,-1.138745676615044,-1.138745676615044,False,False,-1.138745676615044,other
3,144,20,False,3671,0,846,4,1.0,308.0,391.0,3851.0,0.001538,UNSATISFIABLE,data/echosat_symmetry_grpo_v1_canonical/cnf/subset_cardinality/subset_cardinality_bw12_perm1740.cnf,subset_cardinality,subset_cardinality_bw12_perm1740,subset_cardinality_bw12,perm_seed1740,49,UNSATISFIABLE,weak_symmetry,weak,large,main,subset_cardinality:large,True,event,8,48.0,0.6,0.6,,subset_cardinality_bw12,3,True,/Users/cchao/EchoSAT/RLAF/data/echosat_symmetry_grpo_v1_canonical/cnf/subset_cardinality/subset_cardinality_bw12_perm1740.orbits.json,/Users/cchao/EchoSAT/RLAF/data/echosat_symmetry_grpo_v1_canonical/cnf/subset_cardinality/subset_cardinality_bw12_perm1740.metadata.json,0.32653061224489793,0.03896872326731682,0.08830928802490234,0.04206998646259308,0.9683877079104255,56.21723637357354,1.5604618787765503,49,0.001117000007070601,1.0,14.0,0.2086143046617508,0.001707,339.0,440.0,2.26749,symmetry_grpo_v2,-0.09900410076156994,-0.10240044247787611,0.6543643860987703,0.0,3.2268775112970696,0.5896937739168883,0.35381626435013297,False,1.11211143124364,UNSATISFIABLE,0.001625,442.0,321.0,True,UNSATISFIABLE,0.001707,440.0,339.0,True,0.10635473708420345,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,0.04027429962505909,False,True,True,-0.21846616832784355,0.21846616832784355,0.10635473708420345,False,1.2184661683278435,0.001625,UNSATISFIABLE,UNSATISFIABLE,False,1.11211143124364,0.0,0.0,-1.2184661683278435,-1.2184661683278435,-0.4311131479147779,-0.4311131479147779,False,False,-0.4311131479147779,other
3,144,-6,False,0,0,846,5,,,,,,,data/echosat_symmetry_grpo_v1_canonical/cnf/subset_cardinality/subset_cardinality_bw12_perm1740.cnf,subset_cardinality,subset_cardinality_bw12_perm1740,subset_cardinality_bw12,perm_seed1740,49,UNSATISFIABLE,weak_symmetry,weak,large,main,subset_cardinality:large,True,event,8,48.0,0.6,0.6,,subset_cardinality_bw12,3,True,/Users/cchao/EchoSAT/RLAF/data/echosat_symmetry_grpo_v1_canonical/cnf/subset_cardinality/subset_cardinality_bw12_perm1740.orbits.json,/Users/cchao/EchoSAT/RLAF/data/echosat_symmetry_grpo_v1_canonical/cnf/subset_cardinality/subset_cardinality_bw12_perm1740.metadata.json,0.5102040816326531,0.035779573023319244,0.09824162721633911,0.03863496333360672,1.0733875019914678,56.21723637357354,1.5604618787765503,49,0.001117000007070601,1.0,14.0,0.2797664403915405,0.001707,339.0,440.0,2.26749,symmetry_grpo_v2,1.0,1.0,0.6543643860987703,0.0,4.067711661364845,0.5896937739168883,0.35381626435013297,False,3.2184661683278435,UNSATISFIABLE,0.001625,442.0,321.0,True,UNSATISFIABLE,0.001707,440.0,339.0,True,0.0,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,True,0.04027429962505909,False,True,True,-0.21846616832784355,0.21846616832784355,0.0,False,3.2184661683278435,0.001625,UNSATISFIABLE,UNSATISFIABLE,False,3.2184661683278435,0.0,0.0,-3.2184661683278435,-3.2184661683278435,-1.138745676615044,-1.138745676615044,False,False,-1.138745676615044,other
3,144,-6,False,0,0,846,6,,,,,,,data/echosat_symmetry_grpo_v1_canonical/cnf/subset_cardinality/subset_cardinality_bw12_perm1740.cnf,subset_cardinality,subset_cardinality_bw12_perm1740,subset_cardinality_bw12,perm_seed1740,49,UNSATISFIABLE,weak_symmetry,weak,large,main,subset_cardinality:large,True,event,8,48.0,0.6,0.6,,subset_cardinality_bw12,3,True,/Users/cchao/EchoSAT/RLAF/data/echosat_symmetry_grpo_v1_canonical/cnf/subset_cardinality/subset_cardinality_bw12_perm1740.orbits.json,/Users/cchao/EchoSAT/RLAF/data/echosat_symmetry_grpo_v1_canonical/cnf/subset_cardinality/subset_cardinality_bw12_perm1740.metadata.json,0.3469387755102041,0.03355572000145912,0.13174808025360107,0.03622841462492943,1.0594454087112515,56.21723637357354,1.5604618787765503,49,0.001117000007070601,1.0,14.0,0.2698134183883667,0.001707,339.0,440.0,2.26749,symmetry_grpo_v2,1.0,1.0,0.6543643860987703,0.0,3.45997598289547,0.5896937739168883,0.35381626435013297,False,3.2184661683278435,UNSATISFIABLE,0.001625,442.0,321.0,True,UNSATISFIABLE,0.001707,440.0,339.0,True,0.0,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,True,0.04027429962505909,False,True,True,-0.21846616832784355,0.21846616832784355,0.0,False,3.2184661683278435,0.001625,UNSATISFIABLE,UNSATISFIABLE,False,3.2184661683278435,0.0,0.0,-3.2184661683278435,-3.2184661683278435,-1.138745676615044,-1.138745676615044,False,False,-1.138745676615044,other
3,144,20,False,3671,0,846,7,1.0,308.0,408.0,3711.0,0.001407,UNSATISFIABLE,data/echosat_symmetry_grpo_v1_canonical/cnf/subset_cardinality/subset_cardinality_bw12_perm1740.cnf,subset_cardinality,subset_cardinality_bw12_perm1740,subset_cardinality_bw12,perm_seed1740,49,UNSATISFIABLE,weak_symmetry,weak,large,main,subset_cardinality:large,True,event,8,48.0,0.6,0.6,,subset_cardinality_bw12,3,True,/Users/cchao/EchoSAT/RLAF/data/echosat_symmetry_grpo_v1_canonical/cnf/subset_cardinality/subset_cardinality_bw12_perm1740.orbits.json,/Users/cchao/EchoSAT/RLAF/data/echosat_symmetry_grpo_v1_canonical/cnf/subset_cardinality/subset_cardinality_bw12_perm1740.metadata.json,0.4489795918367347,0.03051048144698143,0.08904916048049927,0.032941728830337524,0.9642510428712405,56.21723637357354,1.5604618787765503,49,0.001117000007070601,1.0,14.0,0.28088998794555664,0.001707,339.0,440.0,2.26749,symmetry_grpo_v2,-0.17574692442882245,-0.08115044247787612,0.6543643860987703,0.0,3.615226708077234,0.5896937739168883,0.35381626435013297,False,1.1275924718784593,UNSATISFIABLE,0.001625,442.0,321.0,True,UNSATISFIABLE,0.001707,440.0,339.0,True,0.09087369644938426,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,0.04027429962505909,False,True,True,-0.21846616832784355,0.21846616832784355,0.09087369644938426,False,1.2184661683278435,0.001625,UNSATISFIABLE,UNSATISFIABLE,False,1.1275924718784593,0.0,0.0,-1.2184661683278435,-1.2184661683278435,-0.4311131479147779,-0.4311131479147779,False,False,-0.4311131479147779,other
3,144,20,False,3671,0,846,8,1.0,326.0,428.0,3961.0,0.001383,UNSATISFIABLE,data/echosat_symmetry_grpo_v1_canonical/cnf/subset_cardinality/subset_cardinality_bw12_perm1740.cnf,subset_cardinality,subset_cardinality_bw12_perm1740,subset_cardinality_bw12,perm_seed1740,49,UNSATISFIABLE,weak_symmetry,weak,large,main,subset_cardinality:large,True,event,8,48.0,0.6,0.6,,subset_cardinality_bw12,3,True,/Users/cchao/EchoSAT/RLAF/data/echosat_symmetry_grpo_v1_canonical/cnf/subset_cardinality/subset_cardinality_bw12_perm1740.orbits.json,/Users/cchao/EchoSAT/RLAF/data/echosat_symmetry_grpo_v1_canonical/cnf/subset_cardinality/subset_cardinality_bw12_perm1740.metadata.json,0.3673469387755102,0.03499314561486244,0.13847404718399048,0.03778524324297905,0.9869771656173805,56.21723637357354,1.5604618787765503,49,0.001117000007070601,1.0,14.0,0.2062538117170334,0.001707,339.0,440.0,2.26749,symmetry_grpo_v2,-0.18980667838312834,-0.032256637168141596,0.6543643860987703,0.0,3.3919169682994736,0.5896937739168883,0.35381626435013297,False,1.1761654294743884,UNSATISFIABLE,0.001625,442.0,321.0,True,UNSATISFIABLE,0.001707,440.0,339.0,True,0.04230073885345516,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,0.04027429962505909,False,True,True,-0.21846616832784355,0.21846616832784355,0.04230073885345516,False,1.2184661683278435,0.001625,UNSATISFIABLE,UNSATISFIABLE,False,1.1761654294743884,0.0,0.0,-1.2184661683278435,-1.2184661683278435,-0.4311131479147779,-0.4311131479147779,False,False,-0.4311131479147779,other
3,144,20,False,3671,0,846,9,1.0,320.0,431.0,3825.0,0.001447,UNSATISFIABLE,data/echosat_symmetry_grpo_v1_canonical/cnf/subset_cardinality/subset_cardinality_bw12_perm1740.cnf,subset_cardinality,subset_cardinality_bw12_perm1740,subset_cardinality_bw12,perm_seed1740,49,UNSATISFIABLE,weak_symmetry,weak,large,main,subset_cardinality:large,True,event,8,48.0,0.6,0.6,,subset_cardinality_bw12,3,True,/Users/cchao/EchoSAT/RLAF/data/echosat_symmetry_grpo_v1_canonical/cnf/subset_cardinality/subset_cardinality_bw12_perm1740.orbits.json,/Users/cchao/EchoSAT/RLAF/data/echosat_symmetry_grpo_v1_canonical/cnf/subset_cardinality/subset_cardinality_bw12_perm1740.metadata.json,0.4489795918367347,0.03421857953071594,0.13392066955566406,0.03693734481930733,0.9811551925992682,56.21723637357354,1.5604618787765503,49,0.001117000007070601,1.0,14.0,0.2253967970609665,0.001707,339.0,440.0,2.26749,symmetry_grpo_v2,-0.15231400117164617,-0.0364712389380531,0.6543643860987703,0.0,3.6630196634946834,0.5896937739168883,0.35381626435013297,False,1.1725995967219294,UNSATISFIABLE,0.001625,442.0,321.0,True,UNSATISFIABLE,0.001707,440.0,339.0,True,0.045866571605914036,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,0.04027429962505909,False,True,True,-0.21846616832784355,0.21846616832784355,0.045866571605914036,False,1.2184661683278435,0.001625,UNSATISFIABLE,UNSATISFIABLE,False,1.1725995967219294,0.0,0.0,-1.2184661683278435,-1.2184661683278435,-0.4311131479147779,-0.4311131479147779,False,False,-0.4311131479147779,other
